Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption Comb (L/100 km),number_of_gears,CO2 Emissions(g/km)
BMW,COMPACT,3.0,6,AM,Z,12.4,7,290
JEEP,SUV - STANDARD,5.7,8,A,X,14.1,8,331
ASTON MARTIN,TWO-SEATER,4.7,8,AM,Z,14.7,7,343
HONDA,STATION WAGON - SMALL,1.8,4,AV,X,8.2,0,193
CHEVROLET,TWO-SEATER,6.2,8,AS,Z,12.4,8,290
CADILLAC,MID-SIZE,2.0,4,AS,Z,9.0,10,209
GENESIS,COMPACT,3.3,6,AS,Z,11.6,8,274
CADILLAC,SUV - STANDARD,6.2,8,A,Z,14.1,8,331
BMW,COMPACT,2.0,4,A,Z,8.8,8,202
ROLLS-ROYCE,COMPACT,6.7,12,AS,Z,17.2,8,404
GMC,PICKUP TRUCK - STANDARD,6.2,8,A,Z,14.0,8,327
CHEVROLET,MID-SIZE,1.4,4,AS,X,8.3,6,191
FORD,PICKUP TRUCK - STANDARD,3.7,6,A,E,18.0,6,288
FORD,SUV - STANDARD,3.5,6,AS,X,12.0,6,281
FORD,SUBCOMPACT,1.6,4,AM,X,7.6,6,179
CHEVROLET,PICKUP TRUCK - SMALL,2.5,4,A,X,11.4,6,267
GMC,PICKUP TRUCK - STANDARD,4.3,6,A,X,12.5,6,288
LINCOLN,MID-SIZE,2.0,4,AS,X,10.2,6,239
BMW,COMPACT,4.4,8,A,Z,12.7,8,292
FIAT,TWO-SEATER,1.4,4,M,X,7.9,6,185
MAZDA,TWO-SEATER,2.0,4,AS,Z,7.9,6,186
CADILLAC,FULL-SIZE,3.6,6,AS,X,11.6,6,272
FORD,PICKUP TRUCK - STANDARD,3.5,6,AS,X,12.8,6,294
FORD,PICKUP TRUCK - STANDARD,5.0,8,AS,X,12.2,10,287
PORSCHE,FULL-SIZE,2.9,6,AM,Z,11.6,8,273
SUBARU,MID-SIZE,3.6,6,AV,X,10.3,6,241
FORD,VAN - PASSENGER,3.5,6,AS,X,14.6,6,342
TOYOTA,COMPACT,1.5,4,M,X,7.2,5,169
FORD,PICKUP TRUCK - STANDARD,3.0,6,AS,D,9.8,10,264
MERCEDES-BENZ,SUBCOMPACT,2.0,4,AM,Z,8.4,7,195
MINI,SUBCOMPACT,2.0,4,M,Z,8.9,6,210
DODGE,FULL-SIZE,5.7,8,A,X,12.3,8,283
GMC,VAN - PASSENGER,6.0,8,A,E,25.8,6,413
BMW,COMPACT,3.0,6,AS,Z,9.4,8,227
GMC,VAN - PASSENGER,6.0,8,A,X,19.8,6,465
MERCEDES-BENZ,SUV - STANDARD,5.5,8,AS,Z,18.5,7,413
HONDA,MID-SIZE,1.5,4,AV,X,4.9,0,114
MASERATI,SUV - STANDARD,3.0,6,AS,Z,14.7,8,346
MERCEDES-BENZ,MID-SIZE,4.7,8,AS,Z,11.4,7,262
BENTLEY,MID-SIZE,6.8,8,AS,Z,17.5,8,408
NISSAN,STATION WAGON - SMALL,2.0,4,AV,X,8.1,0,191
CHEVROLET,MID-SIZE,1.8,4,M,X,8.1,6,186
NISSAN,PICKUP TRUCK - SMALL,4.0,6,A,X,13.9,5,326
BUICK,COMPACT,2.4,4,AS,X,9.6,6,224
LEXUS,MID-SIZE,2.5,4,AV,X,5.9,6,136
BMW,FULL-SIZE,6.6,12,AS,Z,15.1,8,355
AUDI,COMPACT,3.0,6,M,Z,11.7,6,269
DODGE,SUV - SMALL,3.6,6,A,X,12.0,6,276
BUICK,MID-SIZE,2.0,4,AS,Z,9.8,6,231
JEEP,SUV - SMALL,3.2,6,A,X,9.9,9,228
GMC,SUV - STANDARD,5.3,8,A,X,13.7,6,321
VOLKSWAGEN,SUBCOMPACT,2.5,5,A,X,10.1,6,232
MERCEDES-BENZ,SUV - STANDARD,3.0,6,A,Z,13.0,9,305
VOLKSWAGEN,COMPACT,2.0,4,AS,X,8.2,6,191
BMW,FULL-SIZE,3.0,6,A,Z,10.7,8,246
CHEVROLET,MID-SIZE,1.5,4,A,X,7.8,6,182
FORD,SUV - SMALL,2.0,4,AS,X,9.9,6,231
MAZDA,SUV - SMALL,2.5,4,AS,X,8.6,6,198
FORD,PICKUP TRUCK - STANDARD,3.5,6,AS,X,12.6,10,295
MERCEDES-BENZ,MID-SIZE,2.0,4,AS,Z,8.0,7,188
FORD,SUBCOMPACT,2.3,4,M,X,10.1,6,237
HONDA,MID-SIZE,3.5,6,A,X,9.1,6,209
JEEP,SUV - SMALL,1.3,4,A,X,9.9,9,230
FIAT,SUV - SMALL,2.4,4,A,X,9.3,9,217
SUBARU,COMPACT,2.5,4,M,Z,12.7,6,296
MINI,MID-SIZE,2.0,4,M,Z,9.4,6,220
DODGE,FULL-SIZE,3.6,6,A,E,13.9,8,229
VOLKSWAGEN,COMPACT,3.6,6,AS,Z,11.8,6,271
MINI,MINICOMPACT,2.0,4,AS,Z,8.4,6,196
FORD,SUV - SMALL,2.0,4,AS,X,9.3,6,218
MAZDA,SUV - SMALL,2.0,4,AS,X,8.1,6,189
SUBARU,SUV - SMALL,2.0,4,AV,X,7.7,0,177
JEEP,SUV - SMALL,2.4,4,A,X,9.5,9,218
MAZDA,SUV - SMALL,2.0,4,AS,X,8.2,6,189
CADILLAC,STATION WAGON - SMALL,3.0,6,AS,X,11.1,6,255
KIA,SUV - SMALL,3.3,6,A,X,11.8,6,271
KIA,SUV - SMALL,2.4,4,A,X,10.7,6,246
VOLKSWAGEN,COMPACT,1.8,4,A,X,8.5,6,196
MAZDA,SUV - SMALL,3.7,6,AS,X,12.7,6,292
AUDI,SUBCOMPACT,2.0,4,AM,X,8.9,6,208
CHEVROLET,SUV - SMALL,1.5,4,A,X,8.9,6,209
MAZDA,SUV - SMALL,2.5,4,AS,X,9.0,6,208
CHEVROLET,MID-SIZE,1.4,4,M,X,7.5,6,172
FORD,SPECIAL PURPOSE VEHICLE,2.5,4,AS,X,10.8,6,253
HONDA,COMPACT,1.5,4,AV,X,6.7,0,155
CADILLAC,SUV - STANDARD,3.6,6,AS,X,12.3,6,287
DODGE,MID-SIZE,6.2,8,A,Z,14.7,8,338
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A,E,17.3,6,277
JEEP,SUV - SMALL,2.4,4,M,X,9.8,5,230
PORSCHE,TWO-SEATER,3.8,6,M,Z,11.6,6,272
CHEVROLET,MID-SIZE,1.4,4,M,X,7.8,6,182
CADILLAC,SUV - SMALL,3.6,6,AS,X,11.8,9,277
RAM,PICKUP TRUCK - STANDARD,5.7,8,A,X,14.8,6,348
KIA,STATION WAGON - SMALL,1.6,4,A,X,8.9,6,205
MINI,SUBCOMPACT,1.5,3,M,Z,7.1,6,163
HONDA,STATION WAGON - SMALL,1.5,4,AV,X,6.5,0,154
CHEVROLET,PICKUP TRUCK - STANDARD,2.7,4,A,X,11.1,8,261
ROLLS-ROYCE,STATION WAGON - MID-SIZE,6.7,12,AS,Z,16.5,8,386
AUDI,SUBCOMPACT,1.8,4,AM,Z,8.7,6,200
AUDI,MID-SIZE,4.0,8,AM,Z,11.4,7,265
KIA,FULL-SIZE,2.0,4,M,X,8.4,6,197
HONDA,TWO-SEATER,1.5,4,AV,X,6.8,7,157
KIA,FULL-SIZE,2.0,4,M,X,8.5,6,196
MERCEDES-BENZ,SPECIAL PURPOSE VEHICLE,2.0,4,A,Z,10.5,7,248
MITSUBISHI,STATION WAGON - SMALL,2.0,4,AV,X,8.4,6,194
CHEVROLET,STATION WAGON - SMALL,1.8,4,AS,X,8.3,6,195
CHRYSLER,MID-SIZE,3.6,6,A,X,10.8,9,252
MERCEDES-BENZ,SUBCOMPACT,4.0,8,A,Z,12.0,9,282
HYUNDAI,SUV - SMALL,2.0,4,AS,X,7.9,6,186
JEEP,SUV - SMALL,3.2,6,A,X,10.0,9,234
VOLVO,STATION WAGON - SMALL,3.0,6,AS,X,11.0,6,253
MERCEDES-BENZ,SUV - STANDARD,3.0,6,A,Z,12.2,9,285
MERCEDES-BENZ,COMPACT,3.5,6,AS,E,14.0,7,224
HYUNDAI,SUV - SMALL,2.4,4,AS,X,10.1,8,238
CHEVROLET,TWO-SEATER,6.2,8,M,Z,13.4,7,313
AUDI,SUV - SMALL,3.0,6,AS,Z,11.4,8,262
ACURA,COMPACT,2.0,4,AS,Z,8.5,5,196
TOYOTA,MID-SIZE,1.8,4,AV,X,6.8,0,160
VOLVO,STATION WAGON - SMALL,2.0,4,AS,Z,9.4,8,219
MAZDA,SUV - SMALL,2.5,4,AS,X,8.6,6,200
TOYOTA,PICKUP TRUCK - STANDARD,4.6,8,AS,X,14.2,6,334
MERCEDES-BENZ,TWO-SEATER,4.7,8,A,Z,11.6,9,270
LINCOLN,SUV - SMALL,3.7,6,AS,X,12.5,6,293
MERCEDES-BENZ,SUBCOMPACT,4.0,8,AS,Z,12.2,7,291
CHRYSLER,MINIVAN,3.6,6,A,X,12.0,6,276
NISSAN,STATION WAGON - SMALL,1.6,4,AV,Z,7.9,7,186
CHEVROLET,SUBCOMPACT,2.0,4,AS,Z,9.5,8,222
CHEVROLET,PICKUP TRUCK - SMALL,2.5,4,M,X,10.8,6,248
MERCEDES-BENZ,SUBCOMPACT,4.0,8,A,Z,11.8,9,276
VOLVO,SUV - STANDARD,2.0,4,AS,Z,10.7,8,250
FORD,MID-SIZE,1.5,4,AS,X,8.7,6,203
FORD,SUBCOMPACT,5.0,8,AS,X,12.3,10,289
FIAT,MINICOMPACT,1.4,4,M,X,6.8,5,156
VOLVO,MID-SIZE,3.2,6,AS,X,10.2,6,235
GMC,PICKUP TRUCK - STANDARD,3.0,6,A,D,9.9,10,265
CHEVROLET,COMPACT,1.4,4,M,X,7.3,6,170
HONDA,MID-SIZE,1.5,4,AV,X,6.6,0,153
PORSCHE,MINICOMPACT,3.4,6,M,Z,11.1,7,261
AUDI,SUV - STANDARD,3.0,6,AS,Z,12.5,8,294
LEXUS,SUV - SMALL,3.5,6,AS,X,10.7,8,251
DODGE,MID-SIZE,2.0,4,A,E,12.2,6,195
VOLVO,COMPACT,2.0,4,AS,Z,9.4,8,219
MERCEDES-BENZ,COMPACT,4.7,8,AS,Z,12.3,7,289
TOYOTA,PICKUP TRUCK - STANDARD,5.7,8,AS,X,16.2,6,378
DODGE,SUV - STANDARD,3.6,6,A,E,15.6,8,250
AUDI,COMPACT,2.0,4,AV,Z,8.9,8,205
MITSUBISHI,SUV - SMALL,2.4,4,AV,X,9.0,6,211
NISSAN,MID-SIZE,1.6,4,M,Z,8.3,6,195
MAZDA,TWO-SEATER,2.0,4,M,Z,8.1,6,190
MINI,MID-SIZE,2.0,4,AS,Z,9.1,8,212
FORD,PICKUP TRUCK - STANDARD,5.0,8,AS,X,13.8,10,324
HONDA,MINIVAN,3.5,6,AS,X,10.6,10,247
ROLLS-ROYCE,COMPACT,6.7,12,AS,Z,17.2,8,403
CADILLAC,COMPACT,2.0,4,AS,Z,8.7,8,203
BMW,SUBCOMPACT,3.0,6,M,Z,11.1,6,260
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A,E,20.5,6,342
FORD,SUV - SMALL,2.0,4,AS,X,9.8,6,230
LAND ROVER,SUV - SMALL,2.0,4,AS,Z,10.2,8,238
BUICK,MID-SIZE,3.6,6,AS,X,9.5,8,224
INFINITI,STATION WAGON - SMALL,3.7,6,AS,Z,11.9,7,279
CADILLAC,FULL-SIZE,3.6,6,AS,Z,12.6,6,290
KIA,SUV - SMALL,2.4,4,AS,X,10.0,6,239
AUDI,SUV - SMALL,3.0,6,AS,Z,12.2,8,281
BMW,SUBCOMPACT,3.0,6,AS,Z,10.6,8,249
HYUNDAI,COMPACT,1.6,4,M,X,8.3,6,197
JEEP,SUV - SMALL,3.2,6,A,X,9.9,9,233
GMC,SUV - STANDARD,2.5,4,A,X,10.2,9,238
AUDI,SUBCOMPACT,3.0,6,M,Z,11.7,6,269
NISSAN,MID-SIZE,3.5,6,AV,Z,9.5,7,223
CADILLAC,FULL-SIZE,3.0,6,AS,Z,11.2,8,263
CHEVROLET,SUV - STANDARD,5.3,8,A,E,17.9,6,298
TOYOTA,PICKUP TRUCK - SMALL,3.5,6,M,X,12.5,6,292
TOYOTA,SUV - SMALL,2.5,4,AS,X,7.8,8,183
JAGUAR,FULL-SIZE,3.0,6,AS,Z,11.9,8,280
ACURA,COMPACT,3.5,6,AS,Z,9.2,9,212
AUDI,TWO-SEATER,2.0,4,AM,X,9.2,7,213
VOLKSWAGEN,COMPACT,3.6,6,AS,X,11.8,6,277
MERCEDES-BENZ,STATION WAGON - MID-SIZE,5.5,8,AS,Z,13.3,7,306
FIAT,SUV - SMALL,2.4,4,A,X,9.3,9,219
VOLVO,COMPACT,2.0,4,AS,X,8.4,8,193
CHEVROLET,PICKUP TRUCK - STANDARD,6.2,8,A,Z,14.3,6,329
HONDA,FULL-SIZE,1.5,4,AV,X,7.6,7,177
NISSAN,STATION WAGON - SMALL,1.6,4,AV,X,7.9,7,182
SUBARU,SUV - SMALL,2.0,4,AV,Z,9.4,8,216
MERCEDES-BENZ,MID-SIZE,3.0,6,AS,Z,10.4,7,239
DODGE,FULL-SIZE,3.6,6,A,E,15.7,5,251
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A,X,13.1,8,307
ROLLS-ROYCE,FULL-SIZE,6.6,12,AS,Z,16.1,8,370
MINI,MINICOMPACT,1.6,4,A,Z,8.3,6,191
MERCEDES-BENZ,COMPACT,5.5,8,AS,Z,13.0,7,313
MERCEDES-BENZ,SUBCOMPACT,6.2,8,AS,Z,15.3,7,352
ROLLS-ROYCE,COMPACT,6.6,12,AS,Z,17.1,8,400
MERCEDES-BENZ,STATION WAGON - MID-SIZE,2.0,4,AS,Z,9.4,7,216
ASTON MARTIN,SUBCOMPACT,6.0,12,A,Z,14.1,8,331
VOLVO,COMPACT,3.0,6,AS,X,11.5,6,264
GMC,PICKUP TRUCK - STANDARD,5.3,8,A,X,13.9,8,327
VOLVO,COMPACT,3.0,6,AS,X,11.2,6,259
CHRYSLER,FULL-SIZE,6.4,8,A,Z,13.8,5,317
GMC,PICKUP TRUCK - SMALL,2.5,4,A,X,11.4,6,267
CADILLAC,MID-SIZE,6.2,8,AS,Z,14.1,8,332
KIA,COMPACT,1.6,4,AV,X,6.6,0,151
BUICK,SUV - SMALL,2.5,4,A,X,9.9,6,232
VOLKSWAGEN,SUV - SMALL,2.0,4,A,Z,10.7,6,246
BMW,COMPACT,2.0,4,AS,D,7.0,8,184
DODGE,MID-SIZE,2.0,4,M,X,8.1,6,186
MERCEDES-BENZ,SUV - SMALL,2.1,4,AS,D,8.5,7,230
BMW,COMPACT,4.4,8,M,Z,13.8,6,324
FORD,SUV - SMALL,2.0,4,AS,X,10.3,6,240
FORD,PICKUP TRUCK - STANDARD,3.5,6,AS,X,12.1,10,284
FIAT,STATION WAGON - SMALL,1.4,4,A,X,9.4,6,216
HONDA,MINIVAN,3.5,6,AS,X,10.6,10,248
ROLLS-ROYCE,FULL-SIZE,6.7,12,AS,Z,17.1,8,400
CHEVROLET,SUV - SMALL,2.0,4,A,X,9.8,9,225
HYUNDAI,MID-SIZE,2.0,4,AM,X,5.6,6,132
AUDI,MID-SIZE,3.0,6,AM,Z,9.6,7,224
BMW,MID-SIZE,4.4,8,AS,Z,13.8,8,322
FORD,SUV - SMALL,2.5,4,AS,X,9.4,6,220
MAZDA,SUV - SMALL,2.0,4,M,X,8.0,6,184
BMW,COMPACT,2.0,4,AS,Z,8.3,8,195
VOLKSWAGEN,COMPACT,2.0,4,AM,X,8.5,6,199
FIAT,MINICOMPACT,1.4,4,A,X,8.6,6,200
AUDI,SUBCOMPACT,3.0,6,M,Z,11.7,6,273
MINI,MINICOMPACT,2.0,4,AS,Z,8.5,6,198
DODGE,FULL-SIZE,3.6,6,A,X,11.2,5,258
TOYOTA,MID-SIZE,1.8,4,AV,X,7.1,0,163
FORD,FULL-SIZE,3.5,6,AS,E,16.0,6,267
GMC,SUV - STANDARD,5.3,8,A,E,17.2,6,275
CHEVROLET,SUV - SMALL,1.4,4,AS,X,8.7,6,200
FORD,MID-SIZE,2.0,4,AS,X,9.3,6,220
LAMBORGHINI,TWO-SEATER,6.5,12,A,Z,18.3,7,421
KIA,SUV - SMALL,2.4,4,AS,X,9.2,6,218
INFINITI,SUV - SMALL,5.0,8,AS,Z,14.5,7,334
KIA,COMPACT,2.0,4,AS,X,8.6,6,198
MASERATI,SUBCOMPACT,4.7,8,AS,Z,15.1,6,357
ACURA,MID-SIZE,3.7,6,AS,Z,11.1,6,255
MERCEDES-BENZ,SUV - STANDARD,5.5,8,A,Z,15.2,7,357
VOLVO,SUV - SMALL,2.0,4,AS,Z,10.3,8,240
NISSAN,TWO-SEATER,3.7,6,AS,Z,11.1,7,255
FORD,PICKUP TRUCK - STANDARD,5.0,8,AS,E,17.8,10,296
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A,X,13.1,6,307
PORSCHE,TWO-SEATER,3.4,6,M,Z,10.4,6,239
BMW,COMPACT,3.0,6,M,Z,9.8,6,225
CADILLAC,COMPACT,2.5,4,AS,X,9.2,8,216
JEEP,SUV - SMALL,3.6,6,A,X,11.9,8,280
FORD,SPECIAL PURPOSE VEHICLE,2.5,4,AS,E,14.6,6,240
BUICK,SUV - STANDARD,3.6,6,A,X,11.9,9,278
CHEVROLET,COMPACT,1.4,4,AS,X,6.8,6,159
HYUNDAI,FULL-SIZE,3.8,6,A,X,11.1,8,255
TOYOTA,PICKUP TRUCK - STANDARD,5.7,8,AS,X,16.2,6,373
PORSCHE,SUV - STANDARD,4.8,8,A,Z,15.2,8,358
CADILLAC,COMPACT,3.6,6,M,Z,12.4,6,289
LAND ROVER,SUV - STANDARD,3.0,6,AS,Z,11.3,8,264
TOYOTA,SUV - SMALL,2.7,4,AS,X,10.2,6,235
MAZDA,MINIVAN,2.5,4,AS,X,9.7,5,226
CHEVROLET,PICKUP TRUCK - SMALL,2.5,4,A,X,11.3,6,260
DODGE,SUV - SMALL,3.6,6,A,E,16.4,6,274
KIA,FULL-SIZE,2.0,4,A,X,8.4,6,193
MINI,MID-SIZE,2.0,4,AS,Z,9.0,8,211
MERCEDES-BENZ,SUV - STANDARD,3.0,6,A,Z,13.0,9,306
TOYOTA,PICKUP TRUCK - SMALL,3.5,6,M,X,12.7,6,299
BUICK,SUV - SMALL,1.4,4,AS,X,9.2,6,215
MASERATI,FULL-SIZE,3.0,6,AS,Z,13.1,8,301
LAND ROVER,SUV - STANDARD,5.0,8,AS,Z,14.7,8,338
DODGE,MID-SIZE,6.2,8,M,Z,15.1,6,352
LEXUS,SUBCOMPACT,3.5,6,AV,Z,8.1,10,189
FORD,SUBCOMPACT,1.0,4,M,X,6.6,5,152
FORD,SUV - STANDARD,3.5,6,AS,X,13.7,6,321
INFINITI,SUBCOMPACT,2.0,4,AS,Z,10.0,7,233
HONDA,TWO-SEATER,1.5,4,M,X,6.9,6,159
FIAT,SUV - SMALL,1.4,4,M,X,8.3,6,194
FORD,SUBCOMPACT,2.3,4,M,X,9.5,6,222
MERCEDES-BENZ,MID-SIZE,5.5,8,AS,Z,13.3,7,310
HYUNDAI,SUV - SMALL,3.3,6,AS,X,11.3,6,265
TOYOTA,SUV - STANDARD,3.5,6,AV,X,8.5,6,196
KIA,FULL-SIZE,3.3,6,AS,X,10.7,6,251
CHEVROLET,MID-SIZE,1.4,4,AS,X,7.3,6,172
SUBARU,MID-SIZE,2.5,4,M,X,9.4,6,216
AUDI,FULL-SIZE,6.3,12,AS,Z,14.6,8,344
MAZDA,MID-SIZE,2.5,4,M,X,8.1,6,189
KIA,MID-SIZE,2.0,4,M,X,8.4,6,193
CHEVROLET,SUV - SMALL,3.6,6,A,X,12.6,6,290
TOYOTA,MINICOMPACT,2.0,4,M,Z,9.9,6,232
TOYOTA,PICKUP TRUCK - STANDARD,5.7,8,AS,X,16.3,6,382
MERCEDES-BENZ,SUV - STANDARD,3.0,6,A,Z,12.6,9,297
LAND ROVER,SUV - STANDARD,3.0,6,AS,Z,12.3,8,283
ACURA,COMPACT,2.4,4,AM,Z,8.3,8,197
BMW,COMPACT,3.0,6,AS,Z,9.9,8,231
MITSUBISHI,COMPACT,2.0,4,M,X,8.4,5,198
KIA,SUV - SMALL,2.4,4,AS,X,9.0,6,214
ROLLS-ROYCE,MID-SIZE,6.6,12,AS,Z,15.6,8,367
CHEVROLET,PICKUP TRUCK - STANDARD,2.7,4,A,X,11.7,8,275
BMW,SUBCOMPACT,2.0,4,AS,Z,9.0,8,210
GMC,VAN - CARGO,4.3,6,A,X,15.1,4,347
TOYOTA,STATION WAGON - SMALL,1.8,4,M,X,8.2,5,189
DODGE,MID-SIZE,2.0,4,A,X,8.6,6,201
FORD,SUBCOMPACT,3.7,6,A,X,10.6,6,244
MAZDA,MID-SIZE,2.5,4,AS,X,7.3,6,171
HYUNDAI,COMPACT,2.0,4,M,X,8.4,6,198
CHEVROLET,FULL-SIZE,3.6,6,AS,E,14.5,6,232
RAM,PICKUP TRUCK - STANDARD,3.6,6,A,E,17.8,8,296
MAZDA,TWO-SEATER,2.0,4,M,Z,8.1,6,189
KIA,SUV - SMALL,3.3,6,AS,X,11.8,6,271
AUDI,SUBCOMPACT,2.0,4,AM,Z,8.8,7,205
VOLKSWAGEN,COMPACT,2.0,4,M,Z,9.8,6,227
FORD,COMPACT,1.0,3,AS,X,7.5,6,176
JAGUAR,COMPACT,2.0,4,AS,Z,9.4,8,220
FORD,PICKUP TRUCK - STANDARD,3.5,6,A,E,15.7,6,251
SUBARU,SUV - SMALL,2.5,4,AV,X,8.7,6,204
MINI,SUBCOMPACT,2.0,4,AS,Z,8.1,8,190
MERCEDES-BENZ,TWO-SEATER,6.2,8,AM,Z,15.6,7,359
NISSAN,SUBCOMPACT,3.8,6,AM,Z,12.6,6,294
TOYOTA,PICKUP TRUCK - STANDARD,5.7,8,AS,X,16.3,6,380
NISSAN,STATION WAGON - MID-SIZE,3.5,6,AV,X,9.9,7,228
TOYOTA,PICKUP TRUCK - SMALL,4.0,6,A,X,13.3,5,306
LEXUS,SUV - STANDARD,5.7,8,AS,Z,15.9,8,371
KIA,FULL-SIZE,3.3,6,AS,X,10.2,8,238
HONDA,SUV - SMALL,2.4,4,AV,X,8.3,0,191
KIA,MID-SIZE,2.0,4,AV,X,7.0,0,165
TOYOTA,SUV - STANDARD,4.0,6,AS,X,12.9,5,297
GMC,SUV - SMALL,3.6,6,A,X,13.0,6,304
LEXUS,COMPACT,2.5,6,AS,Z,9.7,6,223
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A,E,16.9,6,270
AUDI,COMPACT,2.0,4,AS,Z,10.3,6,240
GMC,PICKUP TRUCK - STANDARD,5.3,8,A,X,13.0,8,304
VOLKSWAGEN,STATION WAGON - SMALL,2.0,4,A,D,7.4,6,198
MAZDA,MID-SIZE,2.5,4,M,X,8.1,6,186
HONDA,FULL-SIZE,1.5,4,M,X,7.2,6,167
FORD,SUBCOMPACT,5.0,8,M,X,12.7,6,298
CHEVROLET,COMPACT,6.2,8,M,Z,14.8,6,340
JEEP,SUV - SMALL,2.4,4,M,X,9.3,5,219
CHEVROLET,COMPACT,1.6,4,A,D,6.4,9,172
NISSAN,STATION WAGON - SMALL,2.0,4,AV,X,8.0,7,188
MAZDA,SUV - SMALL,3.7,6,AS,X,12.6,6,290
VOLVO,STATION WAGON - MID-SIZE,2.0,4,AS,Z,9.3,8,216
MINI,TWO-SEATER,1.6,4,AS,Z,7.7,6,177
KIA,SUV - SMALL,3.3,6,A,X,11.4,6,262
MERCEDES-BENZ,TWO-SEATER,3.0,6,A,Z,10.1,9,237
TOYOTA,SUV - STANDARD,3.5,6,AS,X,10.6,8,248
FORD,PICKUP TRUCK - STANDARD,3.5,6,AS,X,12.5,10,295
BMW,SUBCOMPACT,3.0,6,AS,Z,9.8,8,229
MINI,MID-SIZE,1.5,3,AS,Z,8.4,6,197
NISSAN,MID-SIZE,2.5,4,AV,X,7.5,0,176
PORSCHE,FULL-SIZE,3.0,6,AM,Z,9.8,8,229
DODGE,MID-SIZE,6.4,8,M,Z,13.9,6,326
MERCEDES-BENZ,COMPACT,3.5,6,AS,Z,10.4,7,239
FORD,PICKUP TRUCK - STANDARD,3.5,6,AS,X,12.7,10,298
MERCEDES-BENZ,SUBCOMPACT,1.8,4,AS,Z,9.4,7,216
TOYOTA,PICKUP TRUCK - STANDARD,4.6,8,AS,X,14.9,6,349
FORD,PICKUP TRUCK - STANDARD,3.5,6,AS,X,12.3,10,288
INFINITI,MID-SIZE,3.7,6,AS,Z,11.6,7,274
NISSAN,MID-SIZE,2.5,4,AV,X,7.7,7,181
BENTLEY,SUV - STANDARD,4.0,8,AS,Z,13.6,8,315
CHEVROLET,SPECIAL PURPOSE VEHICLE,2.0,4,AV,X,9.3,0,218
CHEVROLET,SUBCOMPACT,3.6,6,AS,X,10.6,8,249
VOLKSWAGEN,MID-SIZE,2.0,4,A,D,6.9,6,180
KIA,SUV - SMALL,2.4,4,A,X,10.3,6,237
CADILLAC,SUV - STANDARD,6.2,8,A,Z,14.0,10,329
NISSAN,STATION WAGON - SMALL,2.0,4,AV,X,8.4,8,198
HONDA,MID-SIZE,2.4,4,M,X,8.9,6,207
DODGE,MID-SIZE,1.4,4,M,X,7.3,6,171
AUDI,SUV - SMALL,2.0,4,AS,Z,10.4,8,244
TOYOTA,MINIVAN,3.5,6,AS,X,11.7,8,274
HONDA,FULL-SIZE,1.5,4,AV,Z,7.4,7,172
INFINITI,MID-SIZE,5.6,8,AS,Z,12.8,7,300
LAMBORGHINI,TWO-SEATER,5.2,10,AM,Z,15.7,7,370
VOLVO,SUV - SMALL,2.0,4,AS,Z,10.4,8,244
NISSAN,STATION WAGON - MID-SIZE,3.5,6,AV,X,10.3,7,242
TOYOTA,COMPACT,1.8,4,AV,X,4.5,0,106
SUBARU,SUV - SMALL,3.6,6,AS,X,13.1,5,301
LINCOLN,MID-SIZE,2.0,4,AS,X,9.0,6,207
KIA,SUV - SMALL,2.4,4,AS,X,10.8,6,251
HYUNDAI,FULL-SIZE,1.6,4,AM,X,8.3,7,194
NISSAN,PICKUP TRUCK - SMALL,2.5,4,A,X,12.1,5,285
HYUNDAI,FULL-SIZE,1.6,4,M,X,9.2,6,218
VOLKSWAGEN,COMPACT,2.0,4,AM,Z,8.8,6,202
GMC,PICKUP TRUCK - STANDARD,4.3,6,A,X,13.5,6,317
PORSCHE,TWO-SEATER,4.0,6,AM,Z,14.3,7,334
AUDI,SUBCOMPACT,2.0,4,AM,X,9.5,6,223
CADILLAC,COMPACT,3.6,6,AS,X,11.0,6,253
CHEVROLET,PICKUP TRUCK - SMALL,3.6,6,A,X,11.3,6,265
HONDA,COMPACT,1.5,4,M,Z,7.8,6,183
INFINITI,SUBCOMPACT,3.7,6,AS,Z,11.5,7,264
GMC,PICKUP TRUCK - SMALL,2.5,4,A,X,11.3,6,263
FORD,PICKUP TRUCK - STANDARD,3.3,6,AS,E,15.9,6,265
CHEVROLET,SUV - STANDARD,5.3,8,A,E,17.6,6,288
BMW,SUBCOMPACT,4.4,8,AS,Z,11.5,8,269
BMW,MID-SIZE,2.0,4,AS,Z,9.1,8,209
VOLVO,SUV - SMALL,2.0,4,AS,Z,10.2,8,240
KIA,MID-SIZE,2.4,4,AS,X,6.3,6,145
INFINITI,MID-SIZE,5.6,8,AS,Z,12.3,7,283
RAM,PICKUP TRUCK - STANDARD,3.6,6,A,E,18.0,8,300
AUDI,MID-SIZE,4.0,8,AM,Z,11.3,7,263
MERCEDES-BENZ,SUV - STANDARD,4.7,8,A,Z,13.5,9,317
GMC,SUV - STANDARD,5.3,8,A,E,17.9,6,298
